subject-id(1-50),age-months,gender,height-inches,weight-lbs,leg-length-inches,Speed-m/sec,Group
1,18,M,40.5,43,23,1.04289,Young
2,25,F,40,35,20,1.05322,Young
3,19,F,39.5,35,21,0.98953,Young
4,26,F,41.5,37,20,1.1377,Young
5,20,M,44,41,22,1.05846,Young
6,27,M,45,40,23,0.90919,Young
7,61,F,40,49,19.5,0.87913,Old
8,62,F,47,52,25,0.91113,Old
9,68,M,45,37,24,1.09948,Old
10,79,M,51.5,60,27,1.49298,Middle
11,79,M,50,54,23,1.17867,Middle
12,80,M,47.5,50,24.5,1.32969,Middle
13,80,M,48.5,52,25,1.26637,Middle
14,81,M,51,62,26,1.00829,Middle
15,82,F,42,39,21,1.22977,Middle
16,83,M,51,64,25,1.09665,Middle
17,85,F,50,60,25,1.26261,Middle
18,85,F,47,46,23.5,1.28939,Middle
19,92,F,49,55,24,1.1469,Middle
20,92,F,51.5,58,28,1.26637,Middle
21,94,F,48,45,28.5,1.07722,Middle
22,133,F,60,88,33,1.26261,Old
23,134,F,61,104,31,1.19522,Old
24,138,F,59,89,31,1.11097,Old
25,138,M,59,84,28,1.32143,Old


